LITURGICAL LAYER ANALYSIS REPORT
02-25-03-01.txt: 5 long lines
02-25-06-02.txt: 5 long lines
01-02-01-01.txt: 4 long lines
01-13-02-01.txt: 4 long lines
01-13-03-01.txt: 4 long lines
02-16-02-01.txt: 4 long lines
02-17-02-01.txt: 4 long lines
02-17-11-01.txt: 4 long lines
02-20-04-01.txt: 4 long lines
02-22-03-02.txt: 4 long lines
02-22-07-01.txt: 4 long lines
01-04-08-01.txt: 3 long lines
01-04-19-01.txt: 3 long lines
01-05-02-01.txt: 3 long lines
01-08-01-01.txt: 3 long lines
01-14-08-01.txt: 3 long lines
02-16-05-01.txt: 3 long lines
02-17-10-01.txt: 3 long lines
02-18-03-04.txt: 3 long lines
02-18-16-04.txt: 3 long lines
02-22-02-01.txt: 3 long lines
02-23-05-01.txt: 3 long lines
02-25-02-01.txt: 3 long lines
01-04-04-01.txt: 2 long lines
01-04-06-01.txt: 2 long lines
01-04-09-01.txt: 2 long lines
01-04-11-01.txt: 2 long lines
01-04-17-01.txt: 2 long lines
01-04-18-01.txt: 2 long lines
01-05-03-01.txt: 2 long lines
01-06-03-01.txt: 2 long lines
01-06-08-01.txt: 2 long lines
01-07-01-01.txt: 2 long lines
01-08-03-01.txt: 2 long lines
01-08-05-01.txt: 2 long lines
01-14-07-03.txt: 2 long lines
02-17-01-01.txt: 2 long lines
02-17-09-01.txt: 2 long lines
02-17-12-01.txt: 2 long lines
02-18-02-03.txt: 2 long lines
02-18-05-01.txt: 2 long lines
02-20-03-01.txt: 2 long lines
02-20-09-01.txt: 2 long lines
02-22-03-01.txt: 2 long lines
01-01-03-01.txt: 1 long lines
01-04-03-01.txt: 1 long lines
01-04-05-01.txt: 1 long lines
01-04-07-01.txt: 1 long lines
01-04-13-01.txt: 1 long lines
01-05-01-01.txt: 1 long lines
01-07-02-01.txt: 1 long lines
01-08-06-01.txt: 1 long lines
01-09-02-01.txt: 1 long lines
01-11-02-01.txt: 1 long lines
01-12-05-01.txt: 1 long lines
01-12-07-01.txt: 1 long lines
01-14-11-01.txt: 1 long lines
02-16-01-01.txt: 1 long lines
02-17-08-01.txt: 1 long lines
02-17-09-02.txt: 1 long lines
02-17-14-01.txt: 1 long lines
02-18-02-02.txt: 1 long lines
02-18-03-01.txt: 1 long lines
02-18-03-02.txt: 1 long lines
02-18-03-03.txt: 1 long lines
02-18-04-01.txt: 1 long lines
02-18-06-01.txt: 1 long lines
02-18-08-02.txt: 1 long lines
02-23-06-02.txt: 1 long lines
02-23-08-09.txt: 1 long lines
02-25-07-01.txt: 1 long lines
